1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.91652532868756893573	2 1.89105517359909848798	2 1.95466855557569847096	2 1.95645324918703773041	2 1.96686858821606292938	2 1.99622679773580389991	2 1.92065063407456486309	2 1.94337027259147886523
4 3.78273907483050566023	4 3.76112557844100235813	4 3.78604128494511468198	4 3.81457275229150416623	4 3.77546093691016421350	4 3.81249050371609771989	4 3.70860249178549680300	4 3.80443771671607096942
8 7.41758097330924140509	8 7.45281448692444321139	8 6.91303110868393004281	8 7.35444025527227855556	8 7.49284787381718254667	8 7.58416192583480838826	8 7.01120890610159760094	8 7.34271830063434494732
16 14.58314504915705342208	16 14.61090690538948016832	16 13.54559803858157052318	16 14.28276549372971552743	16 14.93511729643876124379	16 15.18111282740037721104	16 13.09021642433855958729	16 13.53506214756277513183
32 28.60920451753688743731	32 28.16379541180010657305	32 28.28461700201250413013	32 27.90061753422784557174	32 29.44304439817863702996	32 30.10979566762725320129	32 27.65073995961987813409	32 28.12649401416580987953
64 54.54489017679168084030	64 50.70592894868721579821	64 48.22313562866329565226	64 52.47214259661160169981	64 57.14801263238306498984	64 58.06624611669583384206	64 43.45052812507785485026	64 51.93905900331326801241
128 62.88436389559314827744	128 63.72396529310396952565	128 65.13286552585016183152	128 68.08397262970566487892	128 63.86895804572864055814	128 69.94329559060779554158	128 52.86534460144356072146	128 69.49042623114446688455
256 54.74957309538982909322	256 68.55164945642558452722	256 66.53929651844120279208	256 85.74227707129891554489	256 55.72151354127420333789	256 76.54521428708457257199	256 55.00561701201848932565	256 86.53786659393879288258
