1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.95384010629656902642	2 1.88474199451753099367	2 1.98433157781651421928	2 1.92261347229297270956	2 1.94602194057953887846	2 1.98540100655099801190	2 1.94408773228972502325	2 1.93031230184366197082
4 3.82036040228831337743	4 3.74072923377381498770	4 3.91009650696514854273	4 3.77928794929087451975	4 3.74747503564903529875	4 3.79598551144630445548	4 3.84394075204989111514	4 3.77075755201716474994
8 7.49430476786927081673	8 7.34036735221317599148	8 7.62173406577887581129	8 7.49182022909540188254	8 7.45969011269510067828	8 7.56622657077223402582	8 7.56785180294566320597	8 6.90653799516761564839
16 14.74598373484645917968	16 14.21409630911328171693	16 15.16632838250937327562	16 14.77027566457501687488	16 14.76052489873075205756	16 15.08509248735422284149	16 14.70033887371657508819	16 14.23103860486127354439
32 22.28090981307663983673	32 26.62232157064307962447	32 27.46026129592469178985	32 28.75356250854295201163	32 24.52646652980759255868	32 29.66988084594933127351	32 24.00253059175184964044	32 27.72290043228871712317
64 24.55545849477900519977	64 46.06895682491099405576	64 28.02126852943000682255	64 53.63195245648956939168	64 24.42140768976313699103	64 56.64260013749468026534	64 24.85037751012412299819	64 52.99300787642400210769
128 23.40145139605921307573	128 54.67459511739906247330	128 25.25709467911295721459	128 65.80460879301000917533	128 24.13206531966113207113	128 67.23013666693748079280	128 22.66817376064717416898	128 68.13264981741149065419
256 23.83021037356707656430	256 53.73176000885360439840	256 26.81690728872638145272	256 84.86472276498581429127	256 20.64239908305268666436	256 69.72871381319238916125	256 23.71327522825443436529	256 86.15436688229432330636
