1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.93825472763297494562	2 1.90020773765213570318	2 1.99285463915408603433	2 1.99979022778309608797	2 1.95770253015753755248	2 1.98979215247154099513	2 1.93635038416644075548	2 1.92629302605567848518
4 3.81299383193807473846	4 3.77748340041332947102	4 3.92214991444562221452	4 3.65560438372807701372	4 3.76018672477377151494	4 3.80671258695183913434	4 3.83922438562102323912	4 3.74005721893255449191
8 7.50988835972058583180	8 7.46373608908671633410	8 7.53696431706651372086	8 7.52245756094271254135	8 7.48297093330559095440	8 7.61059445281904510638	8 7.47619748526084953596	8 7.23446092546702298268
16 14.84075989415132592512	16 14.66975827858701673548	16 14.82716059174884100522	16 13.24427240568945192875	16 14.87396480414944116626	16 15.15301484795302944933	16 14.45512394392140556154	16 14.14908389662809565481
32 28.73962631942216805217	32 28.19214685705156659559	32 28.83160301241089146612	32 27.52885297150388072357	32 28.65937150149435519835	32 29.99407006552404133058	32 27.62152280718649851137	32 25.95377758836877028937
64 30.77159780860394002539	64 51.09974300847413663165	64 40.24350462455408162978	64 51.83520486320701629279	64 32.44854349448986378066	64 57.78717371008960087016	64 31.46373566513490962465	64 51.81941050678856350032
128 32.03120968453178166424	128 63.60305555014202114033	128 39.59825570081879805503	128 68.62948801240249831003	128 31.89693006231897347531	128 70.13147206803591692293	128 32.51479378713852442914	128 68.50006780500610756790
256 29.80410885099907549003	256 66.94453469161294468149	256 38.00142009216394356071	256 85.34944097799904858029	256 31.93825436150719392459	256 75.44580624767910119103	256 28.66720103223564306603	256 85.99238675368376151285
