1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.91012617218970192532	2 1.88665475109612603282	2 1.96130611278097437154	2 1.98869113458358871236	2 1.95368576403601975735	2 2.00336192308451303433	2 1.91567677562286412559	2 1.93598460352356277342
4 3.75834300867099152268	4 3.74501770807057213543	4 3.75452755705839705549	4 3.57483631174395994100	4 3.75104776384596081511	4 3.82244760686846093529	4 3.77698566451624346837	4 3.71847122584794851460
8 7.33208056543585147421	8 7.33330041479026814813	8 7.06283702093422250120	8 7.51127746930654300498	8 7.46367488982774345026	8 7.61084425473275140967	8 6.92324347533303019804	8 6.79472290988406535212
16 14.27591973901907039656	16 14.13129048397353921302	16 13.76632185883847151916	16 15.26620045762609327026	16 14.81628167116078549658	16 15.10144982511887462934	16 13.06335202252540920432	16 14.33597351162498871734
32 27.96411645198148628722	32 26.43098516041429557009	32 27.80070267761501907629	32 29.85436026363269494215	32 29.24801767029322959798	32 29.92214507441598095985	32 27.37681593831125369218	32 28.54078446368757320722
64 53.29117220563598040716	64 45.07229563242413982673	64 45.87398903262677568623	64 52.62763263672005844278	64 56.31181563567114894407	64 56.57682179818432536439	64 42.08379110135341971883	64 48.71968855572468140518
128 56.23501205573784503920	128 54.58713556437889960294	128 60.00368585076380436054	128 69.36125101103718882522	128 58.00565674686928380469	128 66.71610421298332571676	128 52.20276679517651093721	128 67.83970196879985873521
256 45.26686025610328229898	256 56.74110309068814314296	256 50.20197406475844571816	256 84.73255233144920427434	256 46.60169245680083640775	256 65.70022727080710707074	256 44.07712960199014915595	256 85.97980139401805436908
