1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.91296116670177082235	2 1.87975048566573705161	2 1.97373063047991861111	2 1.94623172137306143821	2 1.95033780329193638020	2 1.98752673963119906361	2 1.92078505849388866052	2 1.95989692662947516889
4 3.77590117049103687602	4 3.73651082864568828938	4 3.76041955550864508638	4 3.78771247644573838935	4 3.75454242123918875527	4 3.80253081721740175089	4 3.68606541320009868370	4 3.53817828301847898630
8 7.39888029487660967539	8 7.41080841664408286394	8 7.08810703854451603904	8 7.23270716142554144354	8 7.45831853372015658763	8 7.59738837366637052582	8 6.62759435828989368490	8 6.65650934889439948299
16 14.51067378665693046721	16 14.40966874001158854433	16 13.50739989989924102983	16 13.02626893776893744029	16 14.85862419151113601230	16 15.15397492536807537086	16 12.51738371050691151397	16 12.67850969445012146451
32 28.42026131772903694965	32 28.07192672890168027508	32 27.40430268900969951087	32 27.64779578870872234662	32 29.34824031171495873120	32 30.02325351715135922370	32 26.90984831558627764571	32 27.47837212517462918363
64 54.05062820170920964742	64 51.29791883730375969060	64 50.35404627000678409005	64 53.16748014993516071969	64 56.90774042133374630732	64 57.92721640551810561978	64 43.96269546572950001389	64 53.19537859801254970864
128 62.29967984976352677209	128 63.87337743869879760114	128 66.04231676867996830181	128 69.93253059271268731360	128 63.83341422726043590240	128 69.60810461109744405011	128 53.07821545395934603053	128 66.74486261543664044815
256 55.05468062786812046414	256 68.23471638421336562133	256 63.73942387898819893416	256 85.40125290744601191385	256 56.62186468060352884820	256 76.29544589475255992603	256 52.02209898911328444903	256 86.62970691428307830905
