1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.91104210098302245653	2 1.79607868503704981421	2 1.97365665941648978251	2 2.00782492250000137826	2 1.93308374452767232342	2 1.96300555062848192721	2 1.93355615315984907513	2 1.95279809818431954402
4 3.73311890159400847855	4 3.49419485498590085764	4 3.89625593007922843999	4 4.00233000840262439697	4 3.71791611782065500708	4 3.72733226909076617373	4 3.81293998155918519089	4 3.83916266939509568400
8 7.27818739151559305447	8 6.38997735369650185096	8 7.39935730420371854141	8 7.94534977175803471930	8 7.37125858935334456770	8 7.33700826746409066314	8 7.49923162873276494339	8 7.67586938660738215225
16 14.23375792610244067587	16 10.88605522792106890679	16 14.85469167791609830607	16 15.84548334802467449179	16 14.62913450310339194563	16 14.17340843297339542211	16 14.21093752350326280083	16 15.28427663822200136828
32 24.14092200085893496644	32 16.40159763032561433203	32 26.61191032319674331092	32 31.42362594695335553676	32 25.26292887267819552354	32 25.46690192126342459716	32 25.42630824157783319376	32 30.29146055376100785959
64 25.04277415757677944960	64 19.74140570835797655662	64 24.56250713499221135043	64 54.47399800168719823382	64 25.03977312509903781309	64 42.08198497072711089765	64 25.44570851855229282891	64 54.39001830589524544843
128 21.75156999401751715179	128 15.82662810106055416809	128 26.41241353365995116343	128 66.70602306362277642645	128 23.12707625247366225111	128 47.49707753947678529342	128 25.01115106327407525853	128 69.90384599995198501932
256 23.92504038074318140215	256 12.60507907179246209677	256 24.32488190017890394978	256 80.72416758652179502524	256 23.94134785121084101743	256 44.37009923987648680929	256 23.37046722028336539055	256 81.35164118778317415821
