1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.90868269023871107055	2 1.88543116339466738217	2 1.95482300941925377482	2 1.98879009230899097036	2 1.94825618943850329797	2 1.96707947065467788823	2 1.92357656449360492600	2 1.92706091700227031043
4 3.76052161691745378991	4 3.69462911021008607719	4 3.86122478583611421798	4 3.87944880924127593640	4 3.75264559469001863463	4 3.79640312259071606696	4 3.79761664953279730277	4 3.80222414375711970957
8 7.21112442484593600214	8 7.33214443022355534957	8 7.47752101669926765608	8 7.60970991996102103855	8 7.44915513979136228568	8 7.55947790265673455606	8 6.72086611103480385805	8 7.05595998080122353563
16 14.35633251755883892749	16 14.19754562615386084381	16 13.73051133981845320880	16 14.56558378488928782361	16 14.86223260818430245167	16 15.07867038403912772808	16 12.71737093224513405910	16 13.39153304597621419983
32 28.14151725350810326342	32 26.61228458469234455368	32 27.14765681188847652848	32 28.34109043619464779245	32 29.26165287359415260760	32 29.79476141026941413906	32 25.84922188288183491008	32 26.88746776894231197753
64 53.51212205907795093019	64 46.44708208484326950788	64 48.35240198303992925236	64 52.90732305314400896520	64 56.48337031901257513094	64 57.33767002600203349720	64 43.82300348822723308832	64 51.63188790644321554682
128 61.46754899737589475259	128 56.24332360708591825544	128 62.53472278497782788347	128 68.21750842152807209186	128 63.44620933891543378770	128 68.52495593860914906692	128 52.79760275365583894841	128 69.09832452599273297253
256 48.07580652014501394628	256 59.53121836176799488635	256 55.52799609504504046558	256 84.77642399656194410389	256 48.13323192594841201754	256 72.16597003435642294039	256 48.55444580940812720848	256 86.21891188933111347705
