1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000	1 1.00000000000000000000
2 1.92000578115251223929	2 1.79652948784012930586	2 1.98538082262269947591	2 1.99680298044910594543	2 1.93765489994798741773	2 1.96518652816082111367	2 1.90939490287333287366	2 1.91989404646653528354
4 3.74749249570096245608	4 3.22869239710256376260	4 3.80129150095327871524	4 3.99389870265825061018	4 3.73239495789408147005	4 3.67746890691588828533	4 3.75680178737667832630	4 3.82973577104748870372
8 7.25753839813223776649	8 5.33676030915169232526	8 7.13650787701610384418	8 7.95984518791680505479	8 7.41385849210132373665	8 7.02831413561349331803	8 6.54689638541677807991	8 7.69343750795532400720
16 14.07952449948211793320	16 8.17777106140998947769	16 14.17603085867913439677	16 15.62201658949839503435	16 14.71574945454097679475	16 12.34433914374521656279	16 13.47207054309519006518	16 15.31171317233494654803
32 27.23877576906791945441	32 10.09846149592911546383	32 27.77895779752810399740	32 30.53280680171443832006	32 28.90396705456834604402	32 19.88299280792731824056	32 27.16616614316556431886	32 29.76049083537063122695
64 41.78715829109904211331	64 9.04540553074235493282	64 42.35448994283215027513	64 52.28855049971134453466	64 43.85812242922072945309	64 30.12700129607745968817	64 42.53614494547393672082	64 52.51067076625544870099
128 41.32291225215938002252	128 7.69840774124573818594	128 41.33403724068318856748	128 61.04824096849587268796	128 41.83880224192902295013	128 29.76140781954604080172	128 41.12713386042894502092	128 68.80843018075986457858
256 33.87612445584914066787	256 6.31901661516202338546	256 33.89685004050543471388	256 53.78876574346159482326	256 34.44277131004359202348	256 24.53348311293226547463	256 29.91616191388528367235	256 75.28800745201681036350
