Program ParDeg inputSize wmName tComputation tTotal
grPPiMemory 2 500 random-05.png 627338 2243662
parallelFor 4 500 random-05.png 11874661 11905008
parallelForMemory 4 500 random-05.png 273016 1539948
fastFlow 4 500 random-05.png 10470809 10495418
fastFlowMemory 4 500 random-05.png 677878 2351600
threads 4 500 random-05.png 12397721 12447532
threadsMemory 4 500 random-05.png 273281 1654106
grPPi 4 500 random-05.png 12348703 12374199
grPPiMemory 4 500 random-05.png 345370 1725057
sequential 1 500 random-40.png 22218497 22256342
sequentialMemory 1 500 random-40.png 3700334 5083691
parallelFor 1 500 random-40.png 22224351 22257165
parallelForMemory 1 500 random-40.png 3717989 5068956
fastFlow 1 500 random-40.png 22185377 22219200
fastFlowMemory 1 500 random-40.png 4268287 5553157
threads 1 500 random-40.png 23142088 23176602
threadsMemory 1 500 random-40.png 4574487 5934294
grPPi 1 500 random-40.png 41962786 42003541
grPPiMemory 1 500 random-40.png 6115095 8524583
parallelFor 2 500 random-40.png 21006314 21050083
parallelForMemory 2 500 random-40.png 2061055 3621350
fastFlow 2 500 random-40.png 14089209 14127802
fastFlowMemory 2 500 random-40.png 2557087 3922751
threads 2 500 random-40.png 17677354 17714308
threadsMemory 2 500 random-40.png 3526383 5409930
grPPi 2 500 random-40.png 21136710 21173844
grPPiMemory 2 500 random-40.png 3300619 4642316
parallelFor 4 500 random-40.png 12764506 12801998
parallelForMemory 4 500 random-40.png 1803228 3186157
fastFlow 4 500 random-40.png 11629332 11668116
fastFlowMemory 4 500 random-40.png 2233360 3845747
threads 4 500 random-40.png 10616906 10654593
threadsMemory 4 500 random-40.png 2001459 3366290
grPPi 4 500 random-40.png 17676421 17718259
grPPiMemory 4 500 random-40.png 3023736 4854019
sequential 1 500 random-85.png 28480049 28518700
sequentialMemory 1 500 random-85.png 7827740 9572460
parallelFor 1 500 random-85.png 28076973 28111128
parallelForMemory 1 500 random-85.png 8070566 9773971
fastFlow 1 500 random-85.png 25348464 25383826
fastFlowMemory 1 500 random-85.png 8363378 9620951
threads 1 500 random-85.png 27766829 27800383
threadsMemory 1 500 random-85.png 8318230 10044662
grPPi 1 500 random-85.png 42483447 42515742
grPPiMemory 1 500 random-85.png 12663083 13983732
parallelFor 2 500 random-85.png 18403643 18436792
parallelForMemory 2 500 random-85.png 4887506 6614187
fastFlow 2 500 random-85.png 15670863 15712953
fastFlowMemory 2 500 random-85.png 4957215 6336643
threads 2 500 random-85.png 15824870 15863463
threadsMemory 2 500 random-85.png 4516029 5851423
grPPi 2 500 random-85.png 25185200 25218999
grPPiMemory 2 500 random-85.png 7178020 8539662
parallelFor 4 500 random-85.png 13628978 13664237
parallelForMemory 4 500 random-85.png 4382305 6941166
fastFlow 4 500 random-85.png 12851862 12893719
fastFlowMemory 4 500 random-85.png 4285863 5622750
threads 4 500 random-85.png 13878948 13913433
threadsMemory 4 500 random-85.png 6905611 9516201
grPPi 4 500 random-85.png 23368039 23430049
grPPiMemory 4 500 random-85.png 6745063 8610780
sequential 1 500 swirl-06.png 16627574 16673064
sequentialMemory 1 500 swirl-06.png 4689050 5941404
parallelFor 1 500 swirl-06.png 16498102 16522896
parallelForMemory 1 500 swirl-06.png 4616146 5883347
fastFlow 1 500 swirl-06.png 16227521 16252387
fastFlowMemory 1 500 swirl-06.png 5378797 6652677
threads 1 500 swirl-06.png 16231567 16254014
threadsMemory 1 500 swirl-06.png 4575379 5833347
grPPi 1 500 swirl-06.png 24913826 24936171
grPPiMemory 1 500 swirl-06.png 8238164 9807769
parallelFor 2 500 swirl-06.png 10098944 10142730
parallelForMemory 2 500 swirl-06.png 2661352 4005616
fastFlow 2 500 swirl-06.png 9935803 9962375
fastFlowMemory 2 500 swirl-06.png 3138176 4489020
threads 2 500 swirl-06.png 10738846 10766976
threadsMemory 2 500 swirl-06.png 2658289 4163823
grPPi 2 500 swirl-06.png 15010331 15053916
grPPiMemory 2 500 swirl-06.png 4709362 6076015
parallelFor 4 500 swirl-06.png 8307163 8336295
parallelForMemory 4 500 swirl-06.png 2421495 3805035
fastFlow 4 500 swirl-06.png 8408379 8441638
fastFlowMemory 4 500 swirl-06.png 2765808 4147545
threads 4 500 swirl-06.png 8359765 8388253
threadsMemory 4 500 swirl-06.png 2373440 3744958
grPPi 4 500 swirl-06.png 11874615 11906648
grPPiMemory 4 500 swirl-06.png 3456734 4834945
