Program ParDeg inputSize wmName tComputation tTotal
parallelFor 16 1499 plasma-11.png 37307555 37438248
parallelForMemory 16 1499 plasma-11.png 19880888 30396239
fastFlow 16 1499 plasma-11.png 33629692 33765043
fastFlowMemory 16 1499 plasma-11.png 17765666 28109743
threads 16 1499 plasma-11.png 37511300 37644271
parallelFor 32 1499 plasma-11.png 19064875 19195923
parallelForMemory 32 1499 plasma-11.png 9767415 20245422
fastFlow 32 1499 plasma-11.png 17094763 17227215
fastFlowMemory 32 1499 plasma-11.png 9251089 19650439
threads 32 1499 plasma-11.png 18504028 18634601
parallelFor 64 1499 plasma-11.png 10363487 10491801
parallelForMemory 64 1499 plasma-11.png 4877659 15206527
fastFlow 64 1499 plasma-11.png 8909791 9039605
fastFlowMemory 64 1499 plasma-11.png 5222453 15754295
threads 64 1499 plasma-11.png 10676455 10815243
parallelFor 128 1499 plasma-11.png 7575647 7704861
parallelForMemory 128 1499 plasma-11.png 3956093 14258212
fastFlow 128 1499 plasma-11.png 6992969 7132977
fastFlowMemory 128 1499 plasma-11.png 4370499 14738837
threads 128 1499 plasma-11.png 7857451 7989348
parallelFor 256 1499 plasma-11.png 7457442 7598107
parallelForMemory 256 1499 plasma-11.png 3207453 13635954
fastFlow 256 1499 plasma-11.png 7257146 7387754
fastFlowMemory 256 1499 plasma-11.png 4063036 14730318
threads 256 1499 plasma-11.png 7819239 7948610
sequential 1 1499 polaroid-02.png 371605438 371726751
sequentialMemory 1 1499 polaroid-02.png 121114406 131470088
parallelFor 1 1499 polaroid-02.png 368743754 368859962
parallelForMemory 1 1499 polaroid-02.png 127794357 138096800
fastFlow 1 1499 polaroid-02.png 369445187 369557586
fastFlowMemory 1 1499 polaroid-02.png 129924660 140367660
threads 1 1499 polaroid-02.png 369731281 369853935
parallelFor 2 1499 polaroid-02.png 193199833 193321526
parallelForMemory 2 1499 polaroid-02.png 66806014 77262143
fastFlow 2 1499 polaroid-02.png 193901478 194019843
fastFlowMemory 2 1499 polaroid-02.png 68620295 79031799
threads 2 1499 polaroid-02.png 193106197 193227734
parallelFor 4 1499 polaroid-02.png 99285867 99408240
parallelForMemory 4 1499 polaroid-02.png 33479524 43872797
fastFlow 4 1499 polaroid-02.png 98720572 98843115
fastFlowMemory 4 1499 polaroid-02.png 34599208 45096277
threads 4 1499 polaroid-02.png 100548070 100657605
parallelFor 8 1499 polaroid-02.png 53890751 54012592
parallelForMemory 8 1499 polaroid-02.png 18309699 28662358
fastFlow 8 1499 polaroid-02.png 50319140 50440486
fastFlowMemory 8 1499 polaroid-02.png 17729843 28078331
threads 8 1499 polaroid-02.png 53086434 53209955
parallelFor 16 1499 polaroid-02.png 27463458 27575084
parallelForMemory 16 1499 polaroid-02.png 9284890 19695074
fastFlow 16 1499 polaroid-02.png 25772005 25886908
fastFlowMemory 16 1499 polaroid-02.png 9244289 19738655
threads 16 1499 polaroid-02.png 28549068 28671519
parallelFor 32 1499 polaroid-02.png 13163797 13275935
parallelForMemory 32 1499 polaroid-02.png 4577214 14872522
fastFlow 32 1499 polaroid-02.png 13239615 13362510
fastFlowMemory 32 1499 polaroid-02.png 5031636 15407997
threads 32 1499 polaroid-02.png 13969054 14081572
parallelFor 64 1499 polaroid-02.png 7725162 7839404
parallelForMemory 64 1499 polaroid-02.png 2403438 12721107
fastFlow 64 1499 polaroid-02.png 6870077 6982984
fastFlowMemory 64 1499 polaroid-02.png 2988444 13479525
threads 64 1499 polaroid-02.png 8211690 8328304
parallelFor 128 1499 polaroid-02.png 6032652 6143456
parallelForMemory 128 1499 polaroid-02.png 1987868 12424893
fastFlow 128 1499 polaroid-02.png 6095152 6208587
fastFlowMemory 128 1499 polaroid-02.png 2631980 13142775
threads 128 1499 polaroid-02.png 6488715 6599156
parallelFor 256 1499 polaroid-02.png 7050578 7165668
parallelForMemory 256 1499 polaroid-02.png 1587852 12106740
fastFlow 256 1499 polaroid-02.png 7207955 7316829
fastFlowMemory 256 1499 polaroid-02.png 2520561 13087344
threads 256 1499 polaroid-02.png 7773293 7889574
sequential 1 1499 random-05.png 334089560 334203939
sequentialMemory 1 1499 random-05.png 16590800 27205111
parallelFor 1 1499 random-05.png 336520184 336632773
parallelForMemory 1 1499 random-05.png 17769987 28082839
fastFlow 1 1499 random-05.png 337454511 337561951
fastFlowMemory 1 1499 random-05.png 19441838 29830883
threads 1 1499 random-05.png 338238628 338350112
parallelFor 2 1499 random-05.png 173879505 174001525
parallelForMemory 2 1499 random-05.png 9166290 19414119
fastFlow 2 1499 random-05.png 173750747 173863923
fastFlowMemory 2 1499 random-05.png 10361538 20797244
threads 2 1499 random-05.png 174202743 174306101
parallelFor 4 1499 random-05.png 88225818 88339615
parallelForMemory 4 1499 random-05.png 4585688 14855446
fastFlow 4 1499 random-05.png 89850263 89965011
fastFlowMemory 4 1499 random-05.png 5502804 15889017
threads 4 1499 random-05.png 87321747 87435974
parallelFor 8 1499 random-05.png 45221108 45324768
parallelForMemory 8 1499 random-05.png 2290840 12584904
fastFlow 8 1499 random-05.png 45823910 45938146
fastFlowMemory 8 1499 random-05.png 3072668 13531477
threads 8 1499 random-05.png 45330947 45435661
parallelFor 16 1499 random-05.png 22770035 22877307
parallelForMemory 16 1499 random-05.png 1149230 11504037
fastFlow 16 1499 random-05.png 23369399 23484384
fastFlowMemory 16 1499 random-05.png 1837436 12230271
threads 16 1499 random-05.png 23316701 23421132
parallelFor 32 1499 random-05.png 13226235 13340334
parallelForMemory 32 1499 random-05.png 581404 10741958
fastFlow 32 1499 random-05.png 13546429 13652012
fastFlowMemory 32 1499 random-05.png 1254171 11682019
threads 32 1499 random-05.png 12991336 13099672
parallelFor 64 1499 random-05.png 12984773 13093704
parallelForMemory 64 1499 random-05.png 309238 10613477
fastFlow 64 1499 random-05.png 13167910 13274252
fastFlowMemory 64 1499 random-05.png 1062512 11516672
threads 64 1499 random-05.png 13022952 13138109
parallelFor 128 1499 random-05.png 13321529 13429560
parallelForMemory 128 1499 random-05.png 280946 10618183
fastFlow 128 1499 random-05.png 13420282 13525877
fastFlowMemory 128 1499 random-05.png 1312821 11917088
threads 128 1499 random-05.png 13372038 13489615
parallelFor 256 1499 random-05.png 13583964 13692873
parallelForMemory 256 1499 random-05.png 238829 10760424
fastFlow 256 1499 random-05.png 15052132 15156545
fastFlowMemory 256 1499 random-05.png 1566452 12312802
threads 256 1499 random-05.png 15908043 16016011
sequential 1 1499 random-40.png 456796335 456938712
sequentialMemory 1 1499 random-40.png 118377377 128796692
parallelFor 1 1499 random-40.png 456456553 456594495
parallelForMemory 1 1499 random-40.png 125424245 135803600
fastFlow 1 1499 random-40.png 457738269 457876395
fastFlowMemory 1 1499 random-40.png 128273656 138692648
threads 1 1499 random-40.png 457357072 457502984
parallelFor 2 1499 random-40.png 235628772 235764504
parallelForMemory 2 1499 random-40.png 65383771 75711460
fastFlow 2 1499 random-40.png 235781160 235915789
fastFlowMemory 2 1499 random-40.png 66525523 76924547
threads 2 1499 random-40.png 234986835 235133804
parallelFor 4 1499 random-40.png 119386523 119530182
parallelForMemory 4 1499 random-40.png 32958869 43381452
fastFlow 4 1499 random-40.png 121220147 121368213
fastFlowMemory 4 1499 random-40.png 33492745 43927541
threads 4 1499 random-40.png 118802870 118948278
parallelFor 8 1499 random-40.png 60697795 60834980
parallelForMemory 8 1499 random-40.png 17961235 28364368
fastFlow 8 1499 random-40.png 61155821 61302619
fastFlowMemory 8 1499 random-40.png 17097169 27437617
threads 8 1499 random-40.png 61048312 61185039
parallelFor 16 1499 random-40.png 31257441 31394895
parallelForMemory 16 1499 random-40.png 8568809 18895921
fastFlow 16 1499 random-40.png 30936064 31081126
fastFlowMemory 16 1499 random-40.png 8845863 19262724
threads 16 1499 random-40.png 31397637 31542115
parallelFor 32 1499 random-40.png 16755742 16891014
parallelForMemory 32 1499 random-40.png 4289026 14556942
fastFlow 32 1499 random-40.png 17299870 17445825
fastFlowMemory 32 1499 random-40.png 4756358 15182706
threads 32 1499 random-40.png 16909349 17047970
parallelFor 64 1499 random-40.png 17056132 17192470
parallelForMemory 64 1499 random-40.png 2373913 12814827
fastFlow 64 1499 random-40.png 18835975 18972630
fastFlowMemory 64 1499 random-40.png 2816152 13320698
threads 64 1499 random-40.png 16890126 17027219
parallelFor 128 1499 random-40.png 17309196 17448727
parallelForMemory 128 1499 random-40.png 1867021 12408106
fastFlow 128 1499 random-40.png 17143747 17280104
fastFlowMemory 128 1499 random-40.png 2463492 12949631
threads 128 1499 random-40.png 17056969 17198235
parallelFor 256 1499 random-40.png 17576221 17714526
parallelForMemory 256 1499 random-40.png 1598096 12264726
fastFlow 256 1499 random-40.png 17317591 17456316
fastFlowMemory 256 1499 random-40.png 2535706 13538970
threads 256 1499 random-40.png 17641664 17780354
sequential 1 1499 random-85.png 583121231 583273878
sequentialMemory 1 1499 random-85.png 249441428 260604277
parallelFor 1 1499 random-85.png 583534514 583684999
parallelForMemory 1 1499 random-85.png 263020242 273456371
fastFlow 1 1499 random-85.png 584611328 584764923
fastFlowMemory 1 1499 random-85.png 265585077 276161287
threads 1 1499 random-85.png 579824164 579971849
parallelFor 2 1499 random-85.png 301315630 301474260
parallelForMemory 2 1499 random-85.png 137464861 147953473
fastFlow 2 1499 random-85.png 301546341 301701217
fastFlowMemory 2 1499 random-85.png 138733554 149058980
threads 2 1499 random-85.png 300857842 301002503
parallelFor 4 1499 random-85.png 151951746 152103968
parallelForMemory 4 1499 random-85.png 68755960 79163432
fastFlow 4 1499 random-85.png 153070130 153216108
fastFlowMemory 4 1499 random-85.png 69636954 80021846
threads 4 1499 random-85.png 151852647 152005294
parallelFor 8 1499 random-85.png 78304086 78452671
parallelForMemory 8 1499 random-85.png 36177537 46662615
fastFlow 8 1499 random-85.png 77384509 77529485
fastFlowMemory 8 1499 random-85.png 35267336 45650222
threads 8 1499 random-85.png 79146918 79302362
parallelFor 16 1499 random-85.png 40599707 40743039
parallelForMemory 16 1499 random-85.png 19379678 29848780
fastFlow 16 1499 random-85.png 39159317 39303247
fastFlowMemory 16 1499 random-85.png 18052702 28492282
threads 16 1499 random-85.png 40347002 40492263
parallelFor 32 1499 random-85.png 20464131 20609066
parallelForMemory 32 1499 random-85.png 9740071 20140096
fastFlow 32 1499 random-85.png 20022473 20165322
fastFlowMemory 32 1499 random-85.png 9407763 19859559
threads 32 1499 random-85.png 20709059 20852384
parallelFor 64 1499 random-85.png 15485859 15640029
parallelForMemory 64 1499 random-85.png 5263656 15870328
fastFlow 64 1499 random-85.png 15784501 15927165
fastFlowMemory 64 1499 random-85.png 5211348 15692268
threads 64 1499 random-85.png 15745097 15887803
parallelFor 128 1499 random-85.png 15864826 16015465
parallelForMemory 128 1499 random-85.png 4003497 14621048
fastFlow 128 1499 random-85.png 16239211 16382956
fastFlowMemory 128 1499 random-85.png 4399650 14959440
threads 128 1499 random-85.png 16725653 16869732
parallelFor 256 1499 random-85.png 17323229 17467448
parallelForMemory 256 1499 random-85.png 3238489 14188608
fastFlow 256 1499 random-85.png 18442688 18585784
fastFlowMemory 256 1499 random-85.png 4221963 15073407
threads 256 1499 random-85.png 16178336 16324765
sequential 1 1499 swirl-06.png 406054555 406179313
sequentialMemory 1 1499 swirl-06.png 157522116 168198854
parallelFor 1 1499 swirl-06.png 403450984 403573892
parallelForMemory 1 1499 swirl-06.png 166488115 176981650
fastFlow 1 1499 swirl-06.png 405835244 405958056
fastFlowMemory 1 1499 swirl-06.png 168614788 179178572
threads 1 1499 swirl-06.png 404953860 405075521
parallelFor 2 1499 swirl-06.png 210592651 210724307
parallelForMemory 2 1499 swirl-06.png 85919089 96409226
fastFlow 2 1499 swirl-06.png 211368285 211501923
fastFlowMemory 2 1499 swirl-06.png 87946722 98525327
threads 2 1499 swirl-06.png 210399866 210532841
parallelFor 4 1499 swirl-06.png 108009179 108131131
parallelForMemory 4 1499 swirl-06.png 43782379 54335998
fastFlow 4 1499 swirl-06.png 106969743 107094385
fastFlowMemory 4 1499 swirl-06.png 44485511 54903709
threads 4 1499 swirl-06.png 107012943 107145699
parallelFor 8 1499 swirl-06.png 55867610 55999674
parallelForMemory 8 1499 swirl-06.png 23398971 33910322
fastFlow 8 1499 swirl-06.png 54661812 54795187
fastFlowMemory 8 1499 swirl-06.png 22712045 33239844
threads 8 1499 swirl-06.png 56628028 56752513
parallelFor 16 1499 swirl-06.png 30312115 30447822
parallelForMemory 16 1499 swirl-06.png 12120675 22645349
fastFlow 16 1499 swirl-06.png 27854155 27988358
fastFlowMemory 16 1499 swirl-06.png 11766407 22187557
threads 16 1499 swirl-06.png 30697378 30820980
parallelFor 32 1499 swirl-06.png 14494070 14619620
parallelForMemory 32 1499 swirl-06.png 5806814 16153043
fastFlow 32 1499 swirl-06.png 14178156 14302793
fastFlowMemory 32 1499 swirl-06.png 6335449 16766948
threads 32 1499 swirl-06.png 15040461 15163232
parallelFor 64 1499 swirl-06.png 8510680 8644134
parallelForMemory 64 1499 swirl-06.png 3056841 13551503
fastFlow 64 1499 swirl-06.png 7441443 7564312
fastFlowMemory 64 1499 swirl-06.png 3693888 14184940
threads 64 1499 swirl-06.png 8736616 8858808
parallelFor 128 1499 swirl-06.png 6533366 6666344
parallelForMemory 128 1499 swirl-06.png 2556543 13005585
fastFlow 128 1499 swirl-06.png 5974508 6096945
fastFlowMemory 128 1499 swirl-06.png 3178061 13521711
threads 128 1499 swirl-06.png 6860502 6982758
parallelFor 256 1499 swirl-06.png 7160824 7284078
parallelForMemory 256 1499 swirl-06.png 2048288 12288063
fastFlow 256 1499 swirl-06.png 7061141 7186891
fastFlowMemory 256 1499 swirl-06.png 3047848 13713229
threads 256 1499 swirl-06.png 6977600 7099034
threadsMemory 1 1499 blotches-01.png 6846573 17769545
threadsMemory 2 1499 blotches-01.png 3559123 14047790
threadsMemory 4 1499 blotches-01.png 1788514 12344624
threadsMemory 8 1499 blotches-01.png 889178 11262036
threadsMemory 16 1499 blotches-01.png 447276 10866370
threadsMemory 32 1499 blotches-01.png 228776 10657630
threadsMemory 64 1499 blotches-01.png 120616 10536965
threadsMemory 128 1499 blotches-01.png 103995 10650343
threadsMemory 256 1499 blotches-01.png 96773 10582697
threadsMemory 1 1499 blotches-15.png 250845574 261234393
threadsMemory 2 1499 blotches-15.png 131091840 141569697
threadsMemory 4 1499 blotches-15.png 65592668 76002332
threadsMemory 8 1499 blotches-15.png 32775276 43117502
threadsMemory 16 1499 blotches-15.png 16787691 27130692
threadsMemory 32 1499 blotches-15.png 8557543 18898662
threadsMemory 64 1499 blotches-15.png 4551086 14891674
threadsMemory 128 1499 blotches-15.png 3560925 13965222
threadsMemory 256 1499 blotches-15.png 3022718 13517432
threadsMemory 1 1499 plasma-11.png 256661005 267004356
threadsMemory 2 1499 plasma-11.png 134308862 144601069
threadsMemory 4 1499 plasma-11.png 67188768 77514292
threadsMemory 8 1499 plasma-11.png 33982199 44468404
threadsMemory 16 1499 plasma-11.png 16815858 27246359
threadsMemory 32 1499 plasma-11.png 8862783 19243767
threadsMemory 64 1499 plasma-11.png 4514145 15046362
threadsMemory 128 1499 plasma-11.png 3441114 13870151
threadsMemory 256 1499 plasma-11.png 3092833 13429740
threadsMemory 1 1499 polaroid-02.png 127726756 138098000
threadsMemory 2 1499 polaroid-02.png 66695493 77122600
threadsMemory 4 1499 polaroid-02.png 33304003 43617384
threadsMemory 8 1499 polaroid-02.png 16691231 27002841
threadsMemory 16 1499 polaroid-02.png 8351018 18731246
threadsMemory 32 1499 polaroid-02.png 4284159 14584035
threadsMemory 64 1499 polaroid-02.png 2271109 12692544
threadsMemory 128 1499 polaroid-02.png 1780917 12108871
threadsMemory 256 1499 polaroid-02.png 1554833 11903597
threadsMemory 1 1499 random-05.png 17557665 28018720
threadsMemory 2 1499 random-05.png 9152826 19618610
threadsMemory 4 1499 random-05.png 4534532 14939376
threadsMemory 8 1499 random-05.png 2289623 12734589
threadsMemory 16 1499 random-05.png 1149455 11527170
threadsMemory 32 1499 random-05.png 581082 10999669
threadsMemory 64 1499 random-05.png 307153 10743813
threadsMemory 128 1499 random-05.png 247734 10671562
threadsMemory 256 1499 random-05.png 219908 10622431
threadsMemory 1 1499 random-40.png 125240851 135549503
threadsMemory 2 1499 random-40.png 65338680 75762747
threadsMemory 4 1499 random-40.png 32678835 43014867
threadsMemory 8 1499 random-40.png 16374370 26738702
threadsMemory 16 1499 random-40.png 8265453 18605065
threadsMemory 32 1499 random-40.png 4187053 14618027
threadsMemory 64 1499 random-40.png 2256829 12636472
threadsMemory 128 1499 random-40.png 1677772 12126533
threadsMemory 256 1499 random-40.png 1510931 11825068
threadsMemory 1 1499 random-85.png 263042455 273426021
threadsMemory 2 1499 random-85.png 137592424 148108700
threadsMemory 4 1499 random-85.png 68624998 78922614
threadsMemory 8 1499 random-85.png 34372311 44770986
threadsMemory 16 1499 random-85.png 17199747 27511629
threadsMemory 32 1499 random-85.png 8744169 19183047
threadsMemory 64 1499 random-85.png 4641154 14998060
threadsMemory 128 1499 random-85.png 3521530 13873010
threadsMemory 256 1499 random-85.png 3169687 13582544
threadsMemory 1 1499 swirl-06.png 166077769 176552611
threadsMemory 2 1499 swirl-06.png 86784698 97160092
threadsMemory 4 1499 swirl-06.png 43322865 53751364
threadsMemory 8 1499 swirl-06.png 21713493 32060179
threadsMemory 16 1499 swirl-06.png 10864356 21225830
threadsMemory 32 1499 swirl-06.png 5555949 15885175
threadsMemory 64 1499 swirl-06.png 2904421 13262572
threadsMemory 128 1499 swirl-06.png 2316947 12652409
threadsMemory 256 1499 swirl-06.png 2014411 12409784
grPPi 1 1499 blotches-01.png 270761835 270855506
grPPiMemory 1 1499 blotches-01.png 6974090 17204377
grPPi 2 1499 blotches-01.png 136377783 136478910
grPPiMemory 2 1499 blotches-01.png 3492628 13728454
grPPi 4 1499 blotches-01.png 71228906 71329044
grPPiMemory 4 1499 blotches-01.png 1746186 12139978
grPPi 8 1499 blotches-01.png 37940382 38042167
grPPiMemory 8 1499 blotches-01.png 876159 11110878
grPPi 16 1499 blotches-01.png 19099975 19204984
grPPiMemory 16 1499 blotches-01.png 446427 10703606
grPPi 32 1499 blotches-01.png 9747012 9852774
grPPiMemory 32 1499 blotches-01.png 228413 10602628
grPPi 64 1499 blotches-01.png 6392754 6490560
grPPiMemory 64 1499 blotches-01.png 133377 10329286
grPPi 128 1499 blotches-01.png 6550578 6648452
grPPiMemory 128 1499 blotches-01.png 114239 10477450
grPPi 256 1499 blotches-01.png 7987817 8084020
grPPiMemory 256 1499 blotches-01.png 129657 10463234
grPPi 1 1499 blotches-15.png 513034416 513165355
grPPiMemory 1 1499 blotches-15.png 257640464 268150090
grPPi 2 1499 blotches-15.png 259931324 260067357
grPPiMemory 2 1499 blotches-15.png 132379131 142942453
grPPi 4 1499 blotches-15.png 136430100 136570704
grPPiMemory 4 1499 blotches-15.png 68020069 78718049
grPPi 8 1499 blotches-15.png 72379609 72510138
grPPiMemory 8 1499 blotches-15.png 35621581 46110803
grPPi 16 1499 blotches-15.png 37981730 38111176
grPPiMemory 16 1499 blotches-15.png 19778531 30401607
grPPi 32 1499 blotches-15.png 18720944 18850092
grPPiMemory 32 1499 blotches-15.png 9318662 19847481
grPPi 64 1499 blotches-15.png 10188544 10317352
grPPiMemory 64 1499 blotches-15.png 4845828 15292391
