Program ParDeg inputSize wmName tComputation tTotal
parallelFor 32 1499 blotches-15.png 13923233 14081870
parallelForMemory 32 1499 blotches-15.png 7624352 16313653
fastFlow 32 1499 blotches-15.png 14455506 14612326
fastFlowMemory 32 1499 blotches-15.png 9106128 17850311
threads 32 1499 blotches-15.png 15284695 15442586
threadsMemory 32 1499 blotches-15.png 9294695 18086998
grPPi 32 1499 blotches-15.png 18720944 18850092
grPPiMemory 32 1499 blotches-15.png 9318662 19847481
parallelFor 64 1499 blotches-15.png 7180436 7333840
parallelForMemory 64 1499 blotches-15.png 3951646 12769357
fastFlow 64 1499 blotches-15.png 7600823 7759068
fastFlowMemory 64 1499 blotches-15.png 4983176 13717845
threads 64 1499 blotches-15.png 9355860 9515254
threadsMemory 64 1499 blotches-15.png 4801227 13680883
grPPi 64 1499 blotches-15.png 10188544 10317352
grPPiMemory 64 1499 blotches-15.png 4845828 15292391
parallelFor 128 1499 blotches-15.png 6401387 6556284
parallelForMemory 128 1499 blotches-15.png 3288523 11942250
fastFlow 128 1499 blotches-15.png 6594404 6751260
fastFlowMemory 128 1499 blotches-15.png 4002083 12747259
threads 128 1499 blotches-15.png 7749108 7908190
threadsMemory 128 1499 blotches-15.png 3826558 12561017
grPPi 128 1499 blotches-15.png 7768268 7898897
grPPiMemory 128 1499 blotches-15.png 3684129 14100425
parallelFor 256 1499 blotches-15.png 7216689 7371225
parallelForMemory 256 1499 blotches-15.png 3000282 11769562
fastFlow 256 1499 blotches-15.png 7462204 7622750
fastFlowMemory 256 1499 blotches-15.png 3746283 12527518
threads 256 1499 blotches-15.png 7906425 8065050
threadsMemory 256 1499 blotches-15.png 2948216 11676042
grPPi 256 1499 blotches-15.png 8048934 8180920
grPPiMemory 256 1499 blotches-15.png 3016823 13438840
sequential 1 1499 plasma-11.png 410829922 410990979
sequentialMemory 1 1499 plasma-11.png 239001249 247755403
parallelFor 1 1499 plasma-11.png 410555666 410712965
parallelForMemory 1 1499 plasma-11.png 235413046 244150647
fastFlow 1 1499 plasma-11.png 411771594 411930771
fastFlowMemory 1 1499 plasma-11.png 263474700 272249568
threads 1 1499 plasma-11.png 411596251 411760904
threadsMemory 1 1499 plasma-11.png 261774883 270541209
grPPi 1 1499 plasma-11.png 514139496 514273149
grPPiMemory 1 1499 plasma-11.png 265278374 275785362
parallelFor 2 1499 plasma-11.png 208735687 208891366
parallelForMemory 2 1499 plasma-11.png 117929008 126634879
fastFlow 2 1499 plasma-11.png 214853197 215020257
fastFlowMemory 2 1499 plasma-11.png 139326818 148070820
threads 2 1499 plasma-11.png 214300427 214466234
threadsMemory 2 1499 plasma-11.png 134701496 143520699
grPPi 2 1499 plasma-11.png 263031548 263162064
grPPiMemory 2 1499 plasma-11.png 135591471 146078184
parallelFor 4 1499 plasma-11.png 108743190 108900678
parallelForMemory 4 1499 plasma-11.png 61747838 70585990
fastFlow 4 1499 plasma-11.png 108855405 109013711
fastFlowMemory 4 1499 plasma-11.png 70052088 78803035
threads 4 1499 plasma-11.png 110984192 111149131
threadsMemory 4 1499 plasma-11.png 68807772 77612562
grPPi 4 1499 plasma-11.png 135798703 135929663
