1 1.00584728418724805311	1 .93218951660139037500	1 .96347434571378367193	1 .91769292526471136258	1 1.00776063043497680505	1 .94772890480602363373	1 1.00506897061815010453	1 .94823050230759794760
2 1.91646521642295062856	2 1.76499395696273238114	2 1.88966812375609369006	2 1.82500778474401132244	2 1.92342525472058767255	2 1.81292669249807360157	2 1.92435791172460405297	2 1.81593089056257519529
4 3.76421479810712604055	4 3.50049648535307513397	4 3.61739098150120969585	4 3.28060199226682624043	4 3.74278282728799658867	4 3.61756654604766782227	4 3.69579881543226041036	4 3.63663208894138041003
8 7.38497196096753640861	8 6.83110425738118493209	8 6.80486227762768905552	8 6.89304619328283966553	8 6.89553274178717605920	8 6.61476772501830860245	8 7.00000753488169877826	8 7.25616978160568264857
16 14.41895723673808071975	16 13.10153825783681146273	16 13.26349794582975457319	16 14.00968415563636481412	16 13.53090488459246464884	16 13.04424780476666928741	16 13.01637720712984395847	16 14.50295113721464856140
32 28.06769214965843039997	32 24.07058181474176589880	32 26.78526382269856430636	32 27.39713520223964733155	32 28.22935039183603332685	32 26.46028916279640847030	32 26.60204749727504811707	32 28.27028735394741418327
64 54.09043275643053200131	64 40.52758090832553663377	64 44.19841156849137067188	64 48.29600614414822518335	64 48.10325505147982657192	64 50.39214907977655342055	64 45.25322290539462644108	64 53.32831053022994492998
128 60.96737833609399732771	128 46.01646137128701585878	128 57.81201196548007537231	128 63.65232934033863636244	128 61.59901781173520368819	128 60.92678487706427187318	128 57.26949604043327530951	128 68.00676617719972351322
256 51.55490537884878582066	256 48.05057524892275965548	256 48.36831411558348045797	256 77.75846381419285914230	256 52.70567008832467352322	256 76.27562644377435680403	256 47.80540730936039590942	256 77.89544343347484906739
