1 .99794219958480246710	1 .92285026163127368880	1 .97220001961058952168	1 .91800390168833560863	1 1.00074439067150384409	1 .94381574312047881970	1 .99877396232762308745	1 .94519780131484414777
2 1.93737419478299283963	2 1.77942797984466803816	2 1.92916719886712717146	2 1.76496666900350767688	2 1.93862715118678291121	2 1.81050091161000793300	2 1.94392309254260988706	2 1.81175035981749248683
4 3.76832025290317458532	4 3.53441848376417041959	4 3.80139590075081500152	4 3.46940108305273146360	4 3.82619682290269899224	4 3.59166987799247601609	4 3.84499410662385513077	4 3.62244789326180079553
8 7.46938439433263433745	8 6.92379989926987327551	8 7.40985000821692127118	8 6.87752020105717926649	8 7.52574842298637042745	8 6.59071478102702848662	8 7.48253833783315745077	8 7.22943093383134740451
16 14.76581943326727019959	16 13.38223042794128735658	16 14.74470475089625315905	16 13.55917068909213968752	16 14.61400295052944353314	16 13.81491605192740321321	16 14.54874884374260394181	16 14.32194666160463316408
32 26.40461084389651482930	32 24.88823948912171876044	32 26.69686657040989779074	32 26.39588257028187672238	32 27.26207738218934142098	32 27.60006047993180736139	32 27.01442468305550970649	32 28.27224231458259544362
64 24.25127103853132104921	64 42.03515186680264417545	64 27.24227781382544764049	64 49.23434161022074010362	64 26.78194182596616864831	64 49.86592895358844237341	64 27.04517035574512588005	64 52.45296697268601209927
128 26.64506977383648977087	128 48.05267360316169080313	128 24.55494794234013326649	128 60.40888762105774539932	128 26.39038433674215717471	128 63.40441644737793522408	128 26.78062761326470136634	128 70.55629549187851507833
256 26.37759114417241982444	256 46.68418854551750084591	256 26.07139779199514912867	256 77.90614661395589432486	256 25.98945103159547208697	256 74.07400869534746348154	256 25.89304132535343604775	256 78.34730838138869346118
