1 .99075234134861739693	1 .77658381794856036628	1 .96208598970382956667	1 .92768031384739801178	1 .99539264369636536333	1 .94994656140754271893	1 .99037748011657747029	1 .94495830249673814914
2 1.90942137612036489205	2 1.36236049164134330643	2 1.91010707367196312320	2 1.85239481559444635958	2 1.91103545011170038138	2 1.82340876891021205704	2 1.90837513700943121877	2 1.81778657270344407878
4 3.72345736893058587212	4 2.30304024866768640732	4 3.65716929584739094546	4 3.70506120195672167798	4 3.73053506340671057659	4 3.64314271813607348310	4 3.67779334348861605269	4 3.61737509463163274092
8 7.24164087599178927621	8 3.56335046237394182735	8 6.86593424388821388250	8 7.38419168210336251753	8 7.08988315945626736519	8 7.28245529317345021775	8 7.02727261225477796149	8 7.27607520653907316645
16 14.01794549430505187819	16 4.92682629650698351994	16 13.63856067874434390620	16 14.49223725267512941645	16 13.30630052637536558385	16 14.46401727707255565640	16 13.75865879994314764610	16 14.46472871336713796403
32 27.21121456979847109374	32 5.75068864524214802206	32 26.72574610557573951894	32 28.32468379645641885531	32 27.67886098695876139684	32 27.93660238529099341065	32 27.75663012291839526598	32 28.27974088191068993251
64 40.38067335492064732179	64 5.34789753424204600874	64 40.74866137505056506163	64 48.50705893819774024007	64 42.64983089625394721395	64 51.47203526023517431221	64 39.51030286116436527774	64 53.63903628042714067785
128 40.44316549353885698325	128 4.88417964577251441724	128 39.76689812715763402863	128 56.63325134148583233396	128 36.58287702369130731711	128 54.38206912783269450608	128 39.17293337555951952374	128 62.21189480263474205490
256 34.79003577349737555067	256 4.05359619960828196681	256 32.61168451906196649222	256 49.89877908635862313642	256 34.94345221167807230570	256 54.56231077377187434113	256 32.34531547266203254744	256 66.85465987413844770752
