1 .99745113218196141419	1 .93921477372766693514	1 .96874364819860943914	1 .91951381383548212302	1 .99929175911606832565	1 .94837350199077073315	1 1.00568632217266474599	1 .94829341522074830087
2 1.93376987784441397018	2 1.79798917282836998466	2 1.93056527346365268118	2 1.83883473921976220591	2 1.93525052450813786194	2 1.81458320464893206417	2 1.93819521912279088939	2 1.81290089053158915203
4 3.80950372878104957511	4 3.58202669232201052332	4 3.79955781690191595647	4 3.36137872875551136150	4 3.83754215631059612832	4 3.62792444465905210253	4 3.84004653537583707711	4 3.63484787278245166579
8 7.53537417934641156668	8 7.07287411785228121568	8 7.30138630885775541644	8 6.91700364127799229683	8 7.44688126491892134466	8 6.89492565511024147387	8 7.36757975844365790718	8 7.25704559114456982540
16 14.89099595378540437771	16 13.81740129538503432893	16 14.36371764407742498439	16 12.17829143123154366430	16 14.36269554851713585026	16 12.87128857352531863532	16 14.45265328511892903467	16 14.50262192810161684355
32 29.12333711225381599965	32 26.51442516143316960684	32 27.93043228565694477773	32 25.31316058634377823346	32 28.49479565000829988822	32 25.60981619127827712960	32 28.15778500606908310029	32 28.52660189893402106020
64 36.94264589042124296485	64 47.86504911972871510403	64 38.98563948628813129398	64 47.66318691471101396620	64 37.65507815872532482699	64 47.38938638847219499146	64 37.03509930742249476138	64 53.74556155645772581560
128 35.90822429735040698713	128 56.69574352505312922618	128 38.36055868991258637061	128 63.10576226386072285840	128 36.75560204694334498216	128 62.30588607909535088948	128 34.86388429797030944023	128 70.83325372778309428004
256 31.61801744951712028094	256 59.08186026263138734280	256 36.81363433681083563023	256 78.47998998240628641760	256 33.66123203705267649581	256 77.02401582960448530163	256 36.04333789334082318478	256 78.69591792501909494533
