1 .99504884912034923694	1 .93595237144945059028	1 .95655005141019623135	1 .92311635489058892550	1 .99959557718921970858	1 .94598330479883180399	1 .99768012880185896597	1 .94812167584826511629
2 1.91505507490996948730	2 1.79769338718015480342	2 1.88797213605544516827	2 1.79659833240633676617	2 1.91016550354342728650	2 1.81388898157523062660	2 1.92030928374852712749	2 1.81424050497727394779
4 3.79211110331685768279	4 3.56768250078701925409	4 3.59702951914570171831	4 3.49649933463019568533	4 3.74373120841729860517	4 3.61292819113059350963	4 3.74048965317989348200	4 3.62589498570175556816
8 7.44692821688455048783	8 7.04329855959716589652	8 6.78012915212073057758	8 6.67663027084620415921	8 7.06540404428696422319	8 6.82198006667541720324	8 7.13076850960671518457	8 7.25644922105308891983
16 14.63990843566820509930	16 13.55317778233288433811	16 12.92050406866669843632	16 12.02476189965776528095	16 12.97294990208490331586	16 13.33680592998337610572	16 12.96786877616451315980	16 14.16705406359933596585
32 28.80812672396242909549	32 26.23407027729461128135	32 26.21358714603280689264	32 25.52213246923217088461	32 27.39229635739012687932	32 25.94427751783673588715	32 26.08605894623277990243	32 27.79210411212657651851
64 55.16519237044821745070	64 47.06270367007841669047	64 48.16616554828638910525	64 49.07977047472588791843	64 48.25095539710382040854	64 48.82377408936869410556	64 45.85191934209255126377	64 52.25832383743132957716
128 69.41542366635995674470	128 56.05767126216196404449	128 63.17278150032928833042	128 64.55586272901953216079	128 62.26695994404966911449	128 61.00490230530445234590	128 61.75713857125131098123	128 66.78942297296348561118
256 67.81228039290359203558	256 59.94927081235413285313	256 60.96994918830245098295	256 78.83529328701087203326	256 61.72199907381111632927	256 77.37160943090425369254	256 63.84220573597926735046	256 78.68154621105905347438
