1 1.00002802962040667836	1 .93556716121171160286	1 .96039541766695939656	1 .91773251369521738700	1 1.00585125662835739277	1 .94691816095211193930	1 .99967941567374160569	1 .94854529615825356874
2 1.91938952356011641724	2 1.79841653830644404711	2 1.87725472383259516839	2 1.79550075830359565905	2 1.92665951176304487493	2 1.81095809764449932832	2 1.92335111618017712692	2 1.81264724735736350740
4 3.80660514395995291278	4 3.57212179712385716266	4 3.63609670115921504787	4 3.50075744063376592839	4 3.77212110396699081310	4 3.61961705664028199682	4 3.77254752009489961046	4 3.62344177824483997087
8 7.48510245051096518816	8 7.04773905729227640257	8 6.63924339896918637131	8 6.74940894229232443515	8 7.17445760130716570610	8 6.49809576952979282715	8 6.77106679884706092658	8 7.16417995786558721523
16 14.68277544736359762081	16 13.70365676130576810348	16 13.00913028581229340499	16 13.10775827907988447945	16 13.23531429491962150829	16 12.24565970091476799225	16 13.16342584767789972621	16 14.47767868877103981253
32 28.88470673737916109161	32 26.31631681416101390874	32 27.16441655919777983088	32 25.60530386333577864897	32 25.89984020351562756115	32 24.92518122758170918303	32 26.68485023909388809831	32 27.46931624073386429522
64 55.41961826040588381927	64 46.61690378065633142126	64 46.31327848330051641969	64 48.15539132416225637925	64 47.64585665037260142266	64 49.91217897766121001898	64 46.24917315719496780532	64 53.93149511147736725337
128 70.61052551498512291417	128 55.70407154880941512628	128 62.55330559054476713907	128 62.48287534381615982790	128 65.17954387262236479603	128 61.53914708274047147021	128 62.84190840006511017377	128 70.74877176402757944084
256 68.04013809285358183506	256 59.91937777563378714832	256 63.90403547109399619897	256 78.68847546659495575816	256 66.21267936109995894034	256 75.90277675152215792405	256 63.14901181559995800102	256 78.71572406269591665634
