1 .99002843082456230671	1 .85335553150890363349	1 .96324920493200965051	1 .91109798378082159282	1 .99277718212587212896	1 .93364165094774689480	1 .98773331116988802355	1 .94493202826230025461
2 1.92280934481392474243	2 1.60119086568036521219	2 1.90112320799169994087	2 1.82932523867463562734	2 1.92138550198886291975	2 1.80997982826203403994	2 1.91782031813356693241	2 1.81264234674623990448
4 3.71829251072976825899	4 3.01497200336410310089	4 3.75306542686044457948	4 3.64651480108110983216	4 3.78675502900976219908	4 3.61795220259206470217	4 3.82596055940108481796	4 3.65876787284773820098
8 7.29072573684785955628	8 5.39947693665570116914	8 7.12742504028209015401	8 7.23899215748215646115	8 7.38791185744497901289	8 7.24223428960555953274	8 7.37001060224927575415	8 7.24608374391766679492
16 14.29602703946301742719	16 9.02932129336749688152	16 14.30876994826282207141	16 14.43678793041786351062	16 14.67233405657918400213	16 14.43644875264307405828	16 14.32833744362034749255	16 14.43362289084827157217
32 24.66255571855874341496	32 13.22849914405611356027	32 25.63390146054120296960	32 28.63000224335191288891	32 25.25961167331443906750	32 28.53575138801934627212	32 25.71633587184566698913	32 28.55156415101483095329
64 25.37149479302334235273	64 15.61469423404159200084	64 23.65981546891806182026	64 49.63114974781771079507	64 25.72933388977997536037	64 53.65058627982330761420	64 25.65390396893116092265	64 54.01477439582227749688
128 24.89437703320988336906	128 12.63751874779577718516	128 25.44173633663339947173	128 60.77572311930369545467	128 25.07891999484443564999	128 59.05334121147836238992	128 24.98419163929985840602	128 66.97021805646378777236
256 22.19549762120077076124	256 10.59132357710290516402	256 23.43092315041236136592	256 73.54762633046515854755	256 24.59440852463978850356	256 69.46727574959489844198	256 21.00129852553202175779	256 75.44427669752805718755
