1 1.00054039417039886264	1 .93421293510744739660	1 .96549266168420500495	1 .91890288156535826539	1 1.00645325232370730814	1 .94614631200551462787	1 1.00271807509132028029	1 .94848405628570311538
2 1.92107607345160604392	2 1.79110843949362888135	2 1.88736727048572307852	2 1.82750494665136666170	2 1.92815159062696826965	2 1.83337739998616605443	2 1.92991831563238733241	2 1.81509090462007484314
4 3.79597579289313614598	4 3.54097575725273786334	4 3.72798419583793434992	4 3.56483668969710633157	4 3.75944488014301080836	4 3.59784277597158436730	4 3.79444339737483904166	4 3.63600412853582051879
8 7.42848691148401739774	8 6.93562010818488603734	8 7.21949166921255867026	8 6.99258437332867404056	8 7.26815689806669732247	8 6.73201039481607973273	8 7.17055792583842050795	8 7.25457281331934940177
16 14.57788093015207246459	16 13.38744410251999612116	16 13.25670793976647822470	16 13.38435691161642403030	16 13.39578432583803538618	16 12.99615046191734371229	16 13.22766247332264012906	16 14.49898328073932776135
32 28.63944754169724186981	32 24.86360729918274142842	32 26.21086343379954430209	32 26.04270966852367826178	32 28.01521967259713800195	32 27.12711583322627520013	32 26.99748066232810284206	32 28.35197299327261643330
64 54.56664184621181671350	64 42.64398812308332033889	64 46.68388928942985360128	64 48.61669160944333833423	64 47.71117642773550409602	64 51.53101388001534917910	64 46.47732657587331296236	64 54.23529026955802894965
128 67.96451774773755428898	128 49.56547907670746407951	128 60.37681594935214418187	128 62.68526506175124009861	128 62.15089664347596629363	128 61.61528126067114850014	128 59.18729489474676925974	128 67.98693107783648050645
256 57.50551575163277436323	256 51.68306162249561001729	256 53.61187274779517787706	256 77.90130029924735654944	256 56.70500420063389352957	256 76.90428103860394632004	256 58.19401441756477872047	256 78.19760515604809544824
