1 1.33381033369855421269	1 1.00942319872779156037	1 .81707298296528198531	1 .80669190558639926922	1 1.13721238831240793020	1 1.21238820387077599321	1 1.04540536585424365972	1 1.34948120187357779565
2 2.27254966873801725805	2 2.00646785071976682387	2 1.55859540292374138089	2 1.46251416627909429053	2 1.61534409167461215615	2 2.45010150729146376443	2 2.31575328004270989544	2 2.44299538226347890498
4 2.72055332062852655337	4 2.27548270858221988309	4 1.88506977093583539651	4 1.86580397074249365687	4 2.78647248124405903033	4 2.76234295807498178654	4 2.72839672363789039307	4 2.80106603371468477651
