1 1.02465274887026798486	1 .87176556393557890360	1 .66740347307555250646	1 .56918628956646165334	1 1.00784769060101580169	1 1.01579326130499338625	1 1.02439733637547132695	1 1.02484406209846222575
2 1.67350077291186228229	2 1.49419599155687890035	2 1.10774199449699010634	2 .99568688922193706918	2 1.64646660086440720930	2 1.76190522711764546741	2 1.54835761682400511190	2 1.76393537346767036992
4 1.97750053845099037519	4 1.69536352487229771553	4 1.40026215586779023993	4 1.35649720227243403744	4 2.00159476827407864754	4 1.93642770272083981176	4 1.98900016926313120045	4 1.97563452204395308076
