1 .83166667280967843790	1 .42096561553536433279	1 .64715514612715349411	1 1.07984132884049404983	1 .84372116507942561928	1 1.01062140191099692906	1 .91307335849996226556	1 1.37579380482881763838
2 1.53305547138241586120	2 .51795053902033766040	2 .98291174636115015265	2 1.66586921475270373799	2 1.41840083974106656712	2 2.41754883771690494379	2 1.20998875669414633100	2 1.92942764755196028263
4 1.54114179386176005740	4 .78723829577408478483	4 1.21466704995053736003	4 1.64715723726403256838	4 1.72018288416366414805	4 2.63800649022001250409	4 1.60100733332797236769	4 3.04958571022947265171
