1 1.02356443695449291868	1 .98996283242016243644	1 .65961122927445194810	1 .66067683373204362400	1 1.02072736929079842253	1 1.09227005105185048127	1 1.06228243431909317843	1 1.13029569116342050088
2 1.69933210298914829510	2 1.70855736126324332180	2 1.10288018516594602121	2 1.15201227011806150355	2 1.70384945921973746722	2 1.92546467230897066177	2 1.69691363462076541239	2 1.93918556563910973781
4 1.95346834807789199006	4 1.88784939711012837473	4 1.31505860012489598972	4 1.14023743068652951226	4 1.98471399507943745029	4 2.14309541682250812773	4 1.95905579999048868896	4 1.99654699868371229196
