1 1.12354141063537419861	1 .93595434763321710438	1 .67037990114126097159	1 .61815436256715682902	1 1.01435610598051292780	1 .96991214742559567693	1 1.02568604430848045342	1 .94103433062081716903
2 1.81738867859415272790	2 1.57906001656171862628	2 1.13082480980893540650	2 1.09051521171576562896	2 1.54752235739413115109	2 1.60158166557749494322	2 1.79970192488153141226	2 1.73332367883377188233
4 2.21602511760552673223	4 1.82640929026429449564	4 1.21876076122604896371	4 1.16051399371658945216	4 2.08966871910718470599	4 1.78621524517348746835	4 2.05203225777630984711	4 1.13353329632960790869
