1 .93447404649998982244	1 .40534654463271579812	1 .74122183301257403743	1 .67136744673419490045	1 .99470036314910167128	1 .62050467083408005753	1 .96838641981437974337	1 .90645838029023700955
2 1.63477235110517777330	2 .78100963082581306308	2 1.04174012155068750893	2 .83339125001195527769	2 1.25960180501781676146	2 1.75668646846943712703	2 1.60537837161047856040	2 1.48819984685846363173
4 1.79761869402832197588	4 .77125677481788758449	4 1.52425092740508861537	4 1.51379100674638793178	4 1.58509973463663510057	4 1.91497201629208544554	4 1.51822435752506448564	4 1.91311507203208419172
