1 1.01228127114169700801	1 .92934221626415599092	1 .70354789826628036182	1 .67665120039382268664	1 1.21389353797288016531	1 1.10556372411697514553	1 1.18956695022179195200	1 1.26305467351386667566
2 1.99627300232966484569	2 1.47480207903910511833	2 1.18488881419510007757	2 1.12126515923273421622	2 1.75161497559270299850	2 1.88329941299325290472	2 1.65384160033968680881	2 1.96140304453114278607
4 2.43081714412541792631	4 2.12228526801892149054	4 1.70014722383480876141	4 1.64651452991774241743	4 1.76670882606563092187	4 2.23174648944988178019	4 2.42532529154873450290	4 2.39700428225452547738
