1 1.00149287523939755452	1 .86693654854980464059	1 .52948097869383600983	1 .60511472021285033184	1 .99973659523285966820	1 .99525146524102142314	1 .96009042053595163928	1 .80890687851993021293
2 1.57698682729456281044	2 1.44708959843759715645	2 1.05118048173060045768	2 1.12110304158098829340	2 1.05770564983461639200	2 1.79535917285079728585	2 1.25689042602190350433	2 1.04932844787420991990
4 1.91055659946762204398	4 1.65684618691120106028	4 1.25695676743612295724	4 1.22376225966817208909	4 1.74064683740992405033	4 2.05206108157149290050	4 2.09274688878285255610	4 1.84881828705959002907
